,epochs,batch,lay1_siz,lay1_act,Drop1,lay2_siz,lay2_act,Drop2,lay3_siz,lay3_act,Drop3,lout_siz,lout_act,loss,optimizer,test_accur,train_accur
122,500,375,128,relu,0.5,64,relu,0.5,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
123,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.3,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
124,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.5,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
125,500,375,128,relu,0.5,64,relu,0.8,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
126,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.3,2,relu,mean_squared_error,adam,0.6399999976158142,0.7028571452413287
127,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.5,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
128,500,375,128,relu,0.8,64,relu,0.3,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
129,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.3,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
130,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.5,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
131,500,375,128,relu,0.8,64,relu,0.5,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
132,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.3,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
133,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.5,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
134,500,375,128,relu,0.8,64,relu,0.8,32,relu,0.8,2,relu,mean_squared_error,adam,0.5599999976158142,0.6999999996594021
135,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.3,2,relu,mean_squared_error,Adagrad,0.6400000095367432,0.7142857139451163
136,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.5,2,relu,mean_squared_error,Adagrad,0.6799999976158142,0.7142857139451163
137,500,375,128,relu,0.3,64,relu,0.3,32,relu,0.8,2,relu,mean_squared_error,Adagrad,0.5599999976158142,0.6999999996594021
